timestamp_ms,id,x1,y1,x2,y2
0.0,82,1773,168,1896,338
0.0,83,1418,960,1667,1080
0.0,84,352,622,568,924
40.0,82,1773,167,1896,338
40.0,83,1418,960,1667,1080
40.0,84,361,619,573,911
80.0,82,1772,165,1897,339
80.0,83,1418,960,1667,1080
80.0,84,371,620,580,902
120.0,82,1773,165,1897,339
120.0,83,1418,960,1667,1080
120.0,84,380,612,587,894
160.0,82,1773,165,1898,339
160.0,83,1418,960,1667,1080
160.0,84,390,606,594,885
200.0,82,1773,165,1899,339
200.0,83,1418,960,1667,1080
200.0,84,401,606,603,876
240.0,82,1773,164,1899,340
240.0,83,1418,960,1667,1080
240.0,84,411,596,611,867
280.0,82,1773,164,1900,340
280.0,83,1418,960,1667,1080
280.0,84,420,587,619,858
320.0,82,1773,163,1900,340
320.0,83,1418,960,1667,1080
320.0,84,429,586,626,850
360.0,82,1773,163,1900,340
360.0,83,1418,960,1667,1080
360.0,84,429,586,626,850
360.0,85,515,548,695,771
360.0,86,1369,788,1906,1080
400.0,82,1774,162,1900,341
400.0,83,1418,960,1667,1080
400.0,84,429,586,626,850
400.0,85,530,542,706,757
400.0,86,1369,788,1906,1080
440.0,82,1774,162,1900,341
440.0,83,1418,960,1667,1080
440.0,84,429,586,626,850
440.0,85,542,560,709,749
440.0,86,1369,788,1906,1080
480.0,82,1774,161,1900,341
480.0,83,1418,960,1667,1080
480.0,84,429,586,626,850
480.0,85,549,563,718,740
480.0,86,1329,761,1912,1078
520.0,82,1774,161,1900,341
520.0,83,1418,960,1667,1080
520.0,84,429,586,626,850
520.0,85,557,560,725,732
520.0,86,1318,746,1915,1078
560.0,82,1774,160,1901,341
560.0,83,1418,960,1667,1080
560.0,84,429,586,626,850
560.0,85,557,560,725,732
560.0,86,1318,746,1915,1078
560.0,87,605,438,765,695
600.0,82,1774,160,1901,342
600.0,83,1418,960,1667,1080
600.0,84,429,586,626,850
600.0,85,557,560,725,732
600.0,86,1321,727,1856,1077
600.0,87,619,439,775,679
640.0,82,1775,159,1902,342
640.0,83,1418,960,1667,1080
640.0,84,429,586,626,850
640.0,85,557,560,725,732
640.0,86,1321,727,1856,1077
640.0,87,626,457,782,670
680.0,82,1775,159,1903,343
680.0,83,1418,960,1667,1080
680.0,84,429,586,626,850
680.0,85,557,560,725,732
680.0,86,1321,727,1856,1077
680.0,87,634,453,789,664
720.0,82,1776,159,1903,343
720.0,83,1418,960,1667,1080
720.0,84,429,586,626,850
720.0,85,557,560,725,732
720.0,86,1321,727,1856,1077
720.0,87,641,462,794,657
760.0,82,1776,159,1904,344
760.0,83,1418,960,1667,1080
760.0,84,429,586,626,850
760.0,85,557,560,725,732
760.0,86,1321,727,1856,1077
760.0,87,647,463,799,651
800.0,82,1777,159,1905,344
800.0,83,1418,960,1667,1080
800.0,84,429,586,626,850
800.0,85,557,560,725,732
800.0,86,1321,727,1856,1077
800.0,87,647,463,799,651
800.0,88,709,360,841,597
840.0,82,1777,159,1905,345
840.0,83,1418,960,1667,1080
840.0,84,429,586,626,850
840.0,85,557,560,725,732
840.0,86,1321,727,1856,1077
840.0,87,647,463,799,651
840.0,88,709,360,841,597
880.0,82,1778,159,1906,346
880.0,83,1418,960,1667,1080
880.0,84,429,586,626,850
880.0,85,557,560,725,732
880.0,86,1321,727,1856,1077
880.0,87,647,463,799,651
880.0,88,718,360,852,584
880.0,89,1540,590,1661,782
880.0,90,727,441,862,572
920.0,82,1778,159,1906,346
920.0,83,1418,960,1667,1080
920.0,84,429,586,626,850
920.0,85,557,560,725,732
920.0,86,1321,727,1856,1077
920.0,87,647,463,799,651
